# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\17205\Downloads\FPGA Project\fpgaproject.csv
# Generated on: Thu Apr 18 13:48:07 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Input,PIN_B12,7,B7_N1,,,,,
Count_LED_M1[6],Output,PIN_D15,7,B7_N0,,,,,
Count_LED_M1[5],Output,PIN_A16,7,B7_N1,,,,,
Count_LED_M1[4],Output,PIN_B16,7,B7_N1,,,,,
Count_LED_M1[3],Output,PIN_E15,7,B7_N0,,,,,
Count_LED_M1[2],Output,PIN_A17,7,B7_N1,,,,,
Count_LED_M1[1],Output,PIN_B17,7,B7_N1,,,,,
Count_LED_M1[0],Output,PIN_F14,7,B7_N0,,,,,
Count_LED_M2[6],Output,PIN_B18,7,B7_N0,,,,,
Count_LED_M2[5],Output,PIN_F15,7,B7_N0,,,,,
Count_LED_M2[4],Output,PIN_A19,7,B7_N0,,,,,
Count_LED_M2[3],Output,PIN_B19,7,B7_N0,,,,,
Count_LED_M2[2],Output,PIN_C19,7,B7_N0,,,,,
Count_LED_M2[1],Output,PIN_D19,7,B7_N0,,,,,
Count_LED_M2[0],Output,PIN_G15,7,B7_N0,,,,,
Count_LED_S1[6],Output,PIN_E11,7,B7_N1,,,,,
Count_LED_S1[5],Output,PIN_F11,7,B7_N1,,,,,
Count_LED_S1[4],Output,PIN_H12,7,B7_N1,,,,,
Count_LED_S1[3],Output,PIN_H13,7,B7_N1,,,,,
Count_LED_S1[2],Output,PIN_G12,7,B7_N1,,,,,
Count_LED_S1[1],Output,PIN_F12,7,B7_N1,,,,,
Count_LED_S1[0],Output,PIN_F13,7,B7_N1,,,,,
Count_LED_S2[6],Output,PIN_A13,7,B7_N1,,,,,
Count_LED_S2[5],Output,PIN_B13,7,B7_N1,,,,,
Count_LED_S2[4],Output,PIN_C13,7,B7_N1,,,,,
Count_LED_S2[3],Output,PIN_A14,7,B7_N1,,,,,
Count_LED_S2[2],Output,PIN_B14,7,B7_N1,,,,,
Count_LED_S2[1],Output,PIN_E14,7,B7_N1,,,,,
Count_LED_S2[0],Output,PIN_A15,7,B7_N1,,,,,
rst,Input,PIN_J6,1,B1_N0,,,,,
stop,Input,PIN_H5,1,B1_N0,,,,,
